Entity,Code,Year,Justice system (courts),Police,Civil services,Armed forces,Political parties,Government,Parliament,Justice system (courts) (Annotations),Police (Annotations),Civil services (Annotations),Armed forces (Annotations),Political parties (Annotations),Government (Annotations),Parliament (Annotations)
Northern Ireland,,2010,38.99902,57.22486,45.87793,61.66989,14.64182,19.37295,29.09411,,,,,,,
Northern Ireland,,2022,61.60689,66.47848,51.68167,65.80785,9.224945,18.44951,12.03354,,,,,,,
Norway,NOR,1984,83.44434,88.39201,57.56422,67.45956,,,77.45005,,,,,,,
Norway,NOR,1993,74.49556,87.57062,43.42212,64.81033,,,58.67635,,,,,,,
Norway,NOR,1998,69.21029,85.35936,50.48802,72.58208,32.38687,65.66105,68.85537,,,,,,,
Norway,NOR,2010,81.23069,85.93497,58.41613,60.70242,31.60963,51.89311,62.91562,,,,,,,
Norway,NOR,2022,85.91683,87.91435,69.83351,79.19227,35.88326,59.26403,69.54196,,,,,,,
Pakistan,PAK,1998,50.10395,16.42412,47.19335,96.98545,33.16008,,,,,,,,,
Pakistan,PAK,2004,,27.95,36.5,84.6,23.8,33.3,73.5,,,,,,,
Pakistan,PAK,2014,45.73869,20.6171,37.34891,83.3562,29.92621,35.85514,26.88874,,,,,,,
Pakistan,PAK,2022,62.40601,42.45614,51.97995,93.23309,43.5589,62.35589,50.07518,,,,,,,
Palestine,PSE,2014,44.4,52.5,39.6,46.4,21,37.1,28.5,,,,,,,
Peru,PER,1998,16.10239,21.13955,10.23947,40.54501,6.028076,36.99422,13.87283,,,,,,,
Peru,PER,2004,,16.18921,8.86076,21.91872,7.861426,19.18721,9.46036,,,,,,,
Peru,PER,2010,8.120895,15.66569,5.835951,21.95183,4.542567,11.47664,7.530296,,,,,,,
Peru,PER,2014,17.37235,27.86481,14.69395,33.07236,10.44686,21.82331,11.9973,,,,,,,
Peru,PER,2022,9.601582,24.81902,8.098162,35.24571,5.970131,10.58161,4.889814,,,,,,,
Philippines,PHL,1998,65.66667,54.91667,66.41667,68.25,44.33333,57.33333,59.33333,,,,,,,
Philippines,PHL,2004,,60.64964,69.69471,73.52835,44.59949,47.65032,60.37194,,,,,,,
Philippines,PHL,2014,65.82361,66.98798,65.83739,71.19784,48.68204,57.64589,59.61583,,,,,,,
Philippines,PHL,2022,77.5441,80.17355,75.17905,76.54924,62.61082,81.59974,69.69279,,,,,,,
Poland,POL,1993,46.66667,29.84375,53.125,62.70834,,,66.92708,,,,,,,
Poland,POL,1998,48.30876,51.25759,31.2229,75.10841,11.01474,36.25325,31.13617,,,,,,,
Poland,POL,2004,39.39044,53.48558,29.9555,64.34811,,,30.06111,,,,,,,
Poland,POL,2010,37.48945,51.92327,24.26426,61.86784,9.432444,19.52488,15.71974,,,,,,,
Poland,POL,2014,38.69417,50.45956,19.48074,62.46336,7.204054,15.95533,11.03149,,,,,,,
Poland,POL,2022,34.94513,59.84363,37.83513,68.89268,8.394308,23.04586,19.25619,,,,,,,
Portugal,PRT,1993,40.23389,43.85966,30.5142,46.68638,,,32.74299,,,,,,,
Portugal,PRT,2004,38.30552,63.97829,49.11654,66.4947,,,43.65118,,,,,,,
Portugal,PRT,2010,46.35456,76.35962,45.71437,71.75646,25.08709,29.38385,38.52176,,,,,,,
Portugal,PRT,2022,49.36069,82.87135,48.54958,77.0938,21.04511,34.43631,33.00815,,,,,,,
Puerto Rico,PRI,1998,47.50859,55.75602,55.24055,62.62886,20.189,51.80413,29.29553,,,,,,,
Puerto Rico,PRI,2004,,55.69444,25.97222,51.94445,19.44444,43.47222,27.22222,,,,,,,
Puerto Rico,PRI,2022,35.75865,48.53594,18.72227,56.52174,9.582964,14.90683,13.57587,,,,,,,
Qatar,QAT,2014,90.87196,95.92461,,94.75774,,82.80832,84.7233,,,,,,,
Romania,ROU,1993,46.41886,44.69628,30.00907,81.50499,,,20.39891,,,,,,,
Romania,ROU,1998,42.69572,37.7724,25.34302,79.90315,12.99435,20.09685,18.15981,,,,,,,
Romania,ROU,2004,37.69633,44.06632,24.95637,80.19197,,,18.23735,,,,,,,
Romania,ROU,2010,32.945,45.84444,29.1166,77.36072,14.61122,24.71,19.51558,,,,,,,
Romania,ROU,2014,32.72541,42.37287,25.71064,65.23253,11.46883,18.36485,14.95609,,,,,,,
Romania,ROU,2022,40.21661,49.94109,27.53175,74.34376,9.998322,18.82739,15.00387,,,,,,,
Russia,RUS,1993,36.71596,34.11525,43.90617,65.88475,40.69352,,43.03926,,,,,,,
Russia,RUS,1998,38.03922,29.80392,44.41176,66.47059,17.54902,24.95098,20.78431,,,,,,,
Russia,RUS,2004,34.87977,28.34387,34.09055,64.50227,,,17.84771,,,,,,,
Russia,RUS,2010,37.21956,34.3655,48.09425,66.60012,21.80783,48.65783,31.69506,,,,,,,
Russia,RUS,2014,32.69451,31.81861,46.81356,63.39004,26.16871,47.60773,30.79366,,,,,,,
Russia,RUS,2022,47.06119,52.24391,55.92501,77.66603,30.46193,51.79763,38.2407,,,,,,,
Rwanda,RWA,2010,76.21262,84.05316,50.90181,,34.35166,,72.32202,,,,,,,
Rwanda,RWA,2014,60.18336,63.2613,60.96922,64.76752,50.68762,63.52325,64.96398,,,,,,,
Saudi Arabia,SAU,2004,,,65.11318,,,,,,,,,,,
Serbia,SRB,1998,43.28125,43.125,29.53125,59.92187,15.9375,32.89063,29.14063,,,,,,,
Serbia,SRB,2004,,45.91667,25.33333,72.41667,13.08333,28.25,20.91667,,,,,,,
Serbia,SRB,2010,26.013,34.44292,23.01483,45.54818,9.076998,19.01999,15.85564,,,,,,,
Serbia,SRB,2022,28.71386,44.77314,25.84885,59.59299,12.52976,26.93663,18.12446,,,,,,,
Singapore,SGP,2014,83.29854,79.40494,76.45017,77.192,69.35302,79.7965,75.45666,,,,,,,
Singapore,SGP,2022,80.08765,86.19527,77.88041,81.8804,51.92583,80.64,69.52142,,,,,,,
Slovakia,SVK,1993,42.00999,36.01748,33.89513,49.81273,34.97854,34.76395,30.3995,,,,,,,
Slovakia,SVK,1998,40.91324,38.99543,38.90411,65.66209,21.09589,41.55251,28.94977,,,,,,,
Slovakia,SVK,2004,32.40105,42.37175,35.76046,71.99715,,,38.59036,,,,,,,
Slovakia,SVK,2010,33.98453,52.18521,53.09325,65.09495,21.9776,46.38236,45.9366,,,,,,,
Slovakia,SVK,2022,36.08786,53.13344,51.63935,64.92755,18.18016,26.26226,30.12216,,,,,,,
Slovenia,SVN,1993,50.5314,51.20773,39.90338,45.02415,,,35.55556,,,,,,,
Slovenia,SVN,1998,34.45879,46.27607,27.11023,43.49553,13.10824,39.42403,23.53525,,,,,,,
Slovenia,SVN,2004,42.54473,49.60239,24.25447,40.55666,,,24.25447,,,,,,,
Slovenia,SVN,2010,39.31831,53.2188,36.21563,52.99327,15.91896,31.95703,31.40175,,,,,,,
Slovenia,SVN,2014,24.69598,42.09542,9.91581,33.76988,3.367633,7.764266,5.986904,,,,,,,
Slovenia,SVN,2022,22.0043,61.45729,23.03545,44.84671,5.259254,14.12274,14.95047,,,,,,,
South Africa,ZAF,1984,62.96992,58.27068,48.30827,56.6416,,,43.10777,,,,,,,
South Africa,ZAF,1993,69.18584,61.69514,53.00732,55.96234,46.88517,,60.15516,,,,,,,
South Africa,ZAF,1998,57.99971,73.68132,51.04099,53.0493,42.53735,62.93204,62.77904,,,,,,,
South Africa,ZAF,2004,,54.86836,53.64545,51.9527,42.39069,59.26035,57.03098,,,,,,,
South Africa,ZAF,2010,64.66116,61.01267,52.52289,61.16858,42.27719,69.4199,63.69637,,,,,,,
South Africa,ZAF,2014,49.58004,45.3199,42.13155,47.64642,36.48091,46.06091,43.05876,,,,,,,
South Korea,KOR,1984,78.96907,71.64948,85.77319,84.53608,,,66.80412,,,,,,,
South Korea,KOR,1993,66.10711,52.59792,60.19184,79.1367,,,33.81295,,,,,,,
South Korea,KOR,1998,58.44676,47.23779,77.502,70.45637,24.81985,43.79504,30.98479,,,,,,,
South Korea,KOR,2004,,49.08334,63.75,62.41667,10.16667,28.91667,10.25,,,,,,,
South Korea,KOR,2010,50.78664,58.63443,62.72937,51.9464,24.137,45.54817,26.12634,,,,,,,
South Korea,KOR,2014,66.66479,58.28812,48.10116,63.4398,26.08201,49.54932,25.45545,,,,,,,
South Korea,KOR,2022,61.5261,56.54619,56.46587,53.89558,24.49799,51.3253,20.72289,,,,,,,
Spain,ESP,1984,48.22199,63.04557,38.75345,61.63477,,,47.63534,,,,,,,
Spain,ESP,1993,45.95806,44.66957,34.77295,39.60377,32.78382,25.71491,37.29695,,,,,,,
Spain,ESP,1998,44.58234,60.47514,39.62883,42.11591,17.86413,30.09069,34.76281,,,,,,,
Spain,ESP,2004,40.91667,57.5738,39.13477,41.08276,26.22235,42.8978,45.00262,,,,,,,
Spain,ESP,2010,46.72298,64.52485,40.50645,52.81919,21.77634,38.25194,46.47459,,,,,,,
Spain,ESP,2014,39.68391,58.68122,38.82975,50.96551,14.97972,20.70057,33.52815,,,,,,,
Spain,ESP,2022,47.04304,66.40277,47.43928,55.29892,18.00556,21.97542,31.7268,,,,,,,
Sweden,SWE,1984,69.7065,78.72117,40.8805,58.49057,,,44.02515,,,,,,,
Sweden,SWE,1993,54.44126,73.0659,39.82808,47.27794,,,45.46323,,,,,,,
Sweden,SWE,1998,61.34787,80.17839,41.42715,53.32012,27.65114,41.32805,43.50843,,,,,,,
Sweden,SWE,2004,59.84834,75.36437,45.21521,43.29523,,,50.12936,,,,,,,
Sweden,SWE,2010,67.6199,73.8884,50.29071,40.47723,28.72731,45.85957,54.88601,,,,,,,
Sweden,SWE,2014,75.6151,79.11945,50.64298,52.00091,42.22403,59.8119,59.41792,,,,,,,
Sweden,SWE,2022,76.06715,85.78632,62.9032,57.02126,31.44281,50.67045,63.31908,,,,,,,
Switzerland,CHE,1998,64.50646,66.6124,42.93095,47.81573,25.34068,50.33006,41.4431,,,,,,,
Switzerland,CHE,2010,72.26608,81.54127,65.77074,44.5406,23.25715,60.50675,54.07401,,,,,,,
Switzerland,CHE,2022,69.95372,84.93941,65.63551,55.37751,25.16917,66.28498,57.57663,,,,,,,
Taiwan,TWN,1998,57.30769,57.94872,57.30769,74.10256,34.10257,67.5641,44.10257,,,,,,,
Taiwan,TWN,2010,38.95678,37.25531,39.97908,41.70519,10.11086,32.29883,13.93473,,,,,,,
Taiwan,TWN,2014,47.55163,62.13055,59.32809,52.86195,22.44167,44.81454,27.59345,,,,,,,
Taiwan,TWN,2022,56.54069,82.47159,64.83189,63.29053,23.51531,52.32388,30.55864,,,,,,,
Tajikistan,TJK,2022,77.08333,80.58334,71.33333,85.5,57.83333,89.25,80.5,,,,,,,
Tanzania,TZA,2004,,65.41418,62.59607,88.55679,55.9351,78.99231,75.49104,,,,,,,
Thailand,THA,2010,71.51238,43.35072,43.74185,51.23859,23.2073,38.52673,32.59452,,,,,,,
Thailand,THA,2014,71.81429,45.99593,56.93092,68.22451,35.35109,51.12443,43.72981,,,,,,,
Thailand,THA,2022,65.64257,50.67443,57.54343,58.31824,36.89039,52.42536,51.01213,,,,,,,
Trinidad and Tobago,TTO,2010,31.94366,27.93694,32.89196,39.00193,9.529855,26.2919,15.71772,,,,,,,
Trinidad and Tobago,TTO,2014,31.23123,28.02803,31.93193,41.04104,21.82182,34.93494,25.92593,,,,,,,
Tunisia,TUN,2014,47.38589,59.08714,28.38174,59.91702,3.153527,17.84232,5.892116,,,,,,,
Tunisia,TUN,2022,45.73579,46.57763,23.33614,72.40233,7.005838,11.93656,8.681135,,,,,,,
Turkey,TUR,1993,62.23301,61.45631,48.73786,89.80582,,43.39806,55.24272,,,,,,,
Turkey,TUR,1998,69.71279,71.09631,66.27213,93.00381,28.29718,50.44804,50.51537,,,,,,,
Turkey,TUR,2004,56.2189,69.56199,59.12569,84.68151,28.21274,45.49636,41.88413,,,,,,,
Turkey,TUR,2010,76.45728,76.67107,59.8246,86.82954,29.98246,54.19089,55.19664,,,,,,,
Turkey,TUR,2014,67.37768,74.3551,57.34894,73.91064,34.89389,58.8783,54.01777,,,,,,,
Turkey,TUR,2022,73.70601,83.64389,61.15942,85.13457,50.26915,68.77847,59.13044,,,,,,,
Uganda,UGA,2004,,54.18202,61.96399,73.73212,36.98216,75.54516,73.97202,,,,,,,
Ukraine,UKR,1998,41.15973,35.32551,36.42832,62.5756,17.14692,40.51939,33.97367,,,,,,,
Ukraine,UKR,2004,30.29068,31.33562,34.76741,64.80736,,,24.77671,,,,,,,
Ukraine,UKR,2010,25.79715,29.64607,37.21947,53.92259,15.42016,23.26649,15.25092,,,,,,,
Ukraine,UKR,2014,25.22173,31.64777,44.41351,58.71583,22.06056,25.34536,20.4747,,,,,,,
Ukraine,UKR,2022,18.83387,35.91804,40.03951,72.10201,14.89406,16.85635,18.01048,,,,,,,
United Kingdom,GBR,1984,65.41759,85.91397,47.99241,81.07754,,,40.39346,"England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales",,,"England, Scotland, and Wales"
United Kingdom,GBR,1993,52.80846,76.72813,43.70387,80.61825,,,45.64459,"England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales",,,"England, Scotland, and Wales"
United Kingdom,GBR,2004,47.84018,68.66467,41.67895,81.61674,,,34.10197,"England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales",,,"England, Scotland, and Wales"
United Kingdom,GBR,2010,52.7978,69.32108,40.887,82.3117,14.44356,24.15833,27.31348,"England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales"
United Kingdom,GBR,2022,64.67455,70.6396,50.6224,82.50726,14.42451,26.25516,26.63116,"England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales","England, Scotland, and Wales"
United States,USA,1984,52.85885,73.67545,56.02876,79.2901,,,51.79549,,,,,,,
United States,USA,1993,58.21362,74.42101,57.71636,48.29205,,,42.38778,,,,,,,
United States,USA,1998,35.39993,69.08447,46.06853,85.23141,20.31051,29.73215,28.72783,,,,,,,
United States,USA,2004,,70.68719,51.86127,80.93071,22.01296,37.25867,37.12768,,,,,,,
United States,USA,2010,56.29333,69.53728,40.48244,81.47894,15.06192,37.61183,19.87902,,,,,,,
United States,USA,2014,53.78416,68.2277,45.05952,81.62289,12.53097,32.59575,20.18799,,,,,,,
United States,USA,2022,57.15104,68.19264,40.9425,80.3746,11.16486,33.33441,14.86523,,,,,,,
Uruguay,URY,1998,59.73455,53.21513,44.80701,38.08438,36.47148,41.66298,41.8048,,,,,,,
Uruguay,URY,2010,54.7,52.6,22.7,38.1,35.8,60.7,46.2,,,,,,,
Uruguay,URY,2014,50,56,23.6,36.6,31.7,59,39.6,,,,,,,
Uruguay,URY,2022,58.02468,68.20988,51.58167,52.84131,29.99257,53.63653,43.20342,,,,,,,
Uzbekistan,UZB,2014,82,82.46667,87.73334,93.8,74.2,95.2,85.39999,,,,,,,
Uzbekistan,UZB,2022,79.27711,82.06565,79.13322,91.49277,65.62249,83.27974,72.93172,,,,,,,
Venezuela,VEN,1998,36.83334,29.75,29.83333,59.5,14.33333,26.33333,22.83333,,,,,,,
Venezuela,VEN,2004,,41.25,36.91667,63.33333,20,55.66667,33.58334,,,,,,,
Venezuela,VEN,2022,16.05042,14.45378,16.05042,20.84034,11.59664,17.31092,14.95798,,,,,,,
Vietnam,VNM,2004,,91,73.8,94.7,87.1,96.9,94,,,,,,,
Vietnam,VNM,2010,86.68896,88.89632,80.20067,95.71906,88.36121,95.71906,95.71906,,,,,,,
Vietnam,VNM,2022,90.75,90.33333,83.66666,91.16667,92.75,92.91666,91.41667,,,,,,,
Yemen,YEM,2014,20.3,28.6,10.5,38.1,8.299999,27.5,9.9,,,,,,,
Zambia,ZMB,2010,48.46667,43.86667,37.66756,53.4,25.76769,40.96064,39.07816,,,,,,,
Zimbabwe,ZWE,2004,,62.27836,52.81467,55.38334,24.26459,47.19424,43.59789,,,,,,,
Zimbabwe,ZWE,2014,59.5939,56.46145,52.81479,59.74404,38.6698,50.73754,48.49456,,,,,,,
Zimbabwe,ZWE,2022,51.93416,50.37037,51.93416,51.15321,28.64198,51.72982,43.95062,,,,,,,
